NROGAR,DESC TIPGAR,MONEDA,M GARANTIA MO,M GARANTIA MN,SEGMENTO,may_1MM
5491,CUENTAS EN GTIA,PEN,65860.99,65860.99,Banca Minorista,0
5492,FONDO MUTUO,PEN,3600,3600,Banca Minorista,0
5493,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5494,DEPOSITO A PLAZO,PEN,77000,77000,Banca Minorista,0
5495,FONDO MUTUO,PEN,770,770,Banca Minorista,0
5496,FONDO MUTUO,PEN,960,960,Banca Minorista,0
5497,FONDO MUTUO,USD,900,2986.2,Banca Minorista,0
5498,CUENTAS EN GTIA,PEN,12100,12100,Banca Minorista,0
5499,FONDO MUTUO,PEN,11000,11000,Banca Minorista,0
5500,CUENTAS EN GTIA,PEN,1100,1100,Banca Minorista,0
5501,DEPOSITO A PLAZO,PEN,3600,3600,Banca Minorista,0
5502,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5503,SUPER DEPOSITO,PEN,3500,3500,Banca Minorista,0
5504,SUPER DEPOSITO,PEN,2090,2090,Banca Minorista,0
5505,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5506,CUENTAS EN GTIA,PEN,1560,1560,Banca Minorista,0
5507,FONDO MUTUO,PEN,1800,1800,Banca Minorista,0
5508,CUENTAS EN GTIA,PEN,1000,1000,Banca Minorista,0
5509,SUPER DEPOSITO,PEN,4077.8,4077.8,Banca Minorista,0
5510,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5511,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5512,DEPOSITO A PLAZO,PEN,2000,2000,Banca Minorista,0
5513,CUENTAS EN GTIA,PEN,1100,1100,Banca Minorista,0
5514,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5515,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5516,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5517,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5518,FONDO MUTUO,PEN,960,960,Banca Minorista,0
5519,CUENTAS EN GTIA,PEN,2400,2400,Banca Minorista,0
5520,FONDO MUTUO,PEN,3600,3600,Banca Minorista,0
5521,FONDO MUTUO,PEN,6000,6000,Banca Minorista,0
5522,FONDO MUTUO,PEN,960,960,Banca Minorista,0
5523,FONDO MUTUO,PEN,960,960,Banca Minorista,0
5524,CUENTAS EN GTIA,PEN,3000,3000,Banca Minorista,0
5525,FONDO MUTUO,PEN,2400,2400,Banca Minorista,0
5526,FONDO MUTUO,PEN,2400,2400,Banca Minorista,0
5527,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5528,CUENTAS EN GTIA,PEN,840,840,Banca Minorista,0
5529,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5530,DEPOSITO A PLAZO,PEN,9150,9150,Banca Minorista,0
5531,FONDO MUTUO,PEN,3600,3600,Banca Minorista,0
5532,FONDO MUTUO,PEN,960,960,Banca Minorista,0
5533,CUENTAS EN GTIA,PEN,900,900,Banca Minorista,0
5534,CUENTAS EN GTIA,PEN,840,840,Banca Minorista,0
5535,FONDO MUTUO,PEN,27500,27500,Banca Minorista,0
5536,CUENTAS EN GTIA,PEN,33000,33000,Banca Minorista,0
5537,DEPOSITO A PLAZO,PEN,15045,15045,Banca Minorista,0
5538,CUENTAS EN GTIA,USD,7600,25216.8,Banca Minorista,0
5539,FONDO MUTUO,PEN,14400,14400,Banca Minorista,0
5540,SUPER DEPOSITO,USD,4754.14,15774.23652,Banca Minorista,0
5541,CUENTAS EN GTIA,PEN,1628.63,1628.63,Banca Minorista,0
5542,CUENTAS EN GTIA,PEN,4021.88,4021.88,Banca Minorista,0
5543,FONDO MUTUO,PEN,42900,42900,Banca Minorista,0
5544,CUENTAS EN GTIA,PEN,2144.89,2144.89,Banca Minorista,0
5545,DEPOSITO A PLAZO,PEN,0,0,Banca Minorista,0
5546,CUENTAS EN GTIA,PEN,14400,14400,Banca Minorista,0
5547,FONDO MUTUO,PEN,840,840,Banca Minorista,0
5548,FONDO MUTUO,USD,173759,576532.362,Banca Minorista,0
5549,DEPOSITO A PLAZO,PEN,120000,120000,Banca Minorista,0
5550,CUENTAS EN GTIA,PEN,1788,1788,Banca Minorista,0
5551,CUENTAS EN GTIA,PEN,29300,29300,Banca Minorista,0
5552,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5553,DEPOSITO A PLAZO,PEN,2000,2000,Banca Minorista,0
5554,CUENTAS EN GTIA,PEN,13484,13484,Banca Minorista,0
5555,CUENTAS EN GTIA,PEN,1000,1000,Banca Minorista,0
5556,CUENTAS EN GTIA,PEN,1000,1000,Banca Minorista,0
5557,CUENTAS EN GTIA,PEN,840,840,Banca Minorista,0
5558,FONDO MUTUO,PEN,840,840,Banca Minorista,0
5559,CUENTAS EN GTIA,USD,1776,5892.768,Banca Minorista,0
5560,FONDO MUTUO,PEN,62250,62250,Banca Minorista,0
5561,CUENTAS EN GTIA,USD,5000,16590,Banca Minorista,0
5562,FONDO MUTUO,PEN,3000,3000,Banca Minorista,0
5563,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5564,FONDO MUTUO,USD,5514,18295.452,Banca Minorista,0
5565,FONDO MUTUO,PEN,2000,2000,Banca Minorista,0
5566,FONDO MUTUO,PEN,900,900,Banca Minorista,0
5567,CUENTAS EN GTIA,PEN,2473.17,2473.17,Banca Minorista,0
5568,FONDO MUTUO,PEN,13570,13570,Banca Minorista,0
5569,DEPOSITO A PLAZO,PEN,4430,4430,Banca Minorista,0
5570,FONDO MUTUO,PEN,30000,30000,Banca Minorista,0
5571,FONDO MUTUO,USD,4350,14433.3,Banca Minorista,0
5572,DEPOSITO A PLAZO,PEN,0,0,Banca Minorista,0
5573,FONDO MUTUO,PEN,18260,18260,Banca Minorista,0
5574,DEPOSITO A PLAZO,USD,1899,6300.882,Banca Minorista,0
5575,CUENTAS EN GTIA,PEN,1516.01,1516.01,Banca Minorista,0
5576,CUENTAS EN GTIA,PEN,960,960,Banca Minorista,0
5577,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5578,FONDO MUTUO,PEN,3600,3600,Banca Minorista,0
5579,DEPOSITO A PLAZO,PEN,10850,10850,Banca Minorista,0
5580,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5581,DEPOSITO A PLAZO,USD,0,0,Banca Minorista,0
5582,FONDO MUTUO,PEN,1800,1800,Banca Minorista,0
5583,CUENTAS EN GTIA,PEN,10000,10000,Banca Minorista,0
5584,DEPOSITO A PLAZO,PEN,12629.67,12629.67,Banca Minorista,0
5585,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5586,FONDO MUTUO,PEN,38968.83,38968.83,Banca Minorista,0
5587,CUENTAS EN GTIA,PEN,5491.32,5491.32,Banca Minorista,0
5588,DEPOSITO A PLAZO,USD,4000,13272,Banca Minorista,0
5589,CUENTAS EN GTIA,USD,3637,12067.566,Banca Minorista,0
5590,FONDO MUTUO,PEN,2400,2400,Banca Minorista,0
5591,FONDO MUTUO,USD,5000,16590,Banca Minorista,0
5592,FONDO MUTUO,PEN,4800,4800,Banca Minorista,0
5593,DEPOSITO A PLAZO,PEN,14400,14400,Banca Minorista,0
5594,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
5595,DEPOSITO A PLAZO,PEN,11200,11200,Banca Minorista,0
5596,FONDO MUTUO,PEN,840,840,Banca Minorista,0
5597,FONDO MUTUO,PEN,5000,5000,Banca Minorista,0
5598,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5599,CUENTAS EN GTIA,USD,435,1443.33,Banca Minorista,0
5600,CUENTAS EN GTIA,PEN,3720,3720,Banca Minorista,0
5601,CUENTAS EN GTIA,PEN,840,840,Banca Minorista,0
5602,DEPOSITO A PLAZO,PEN,5000,5000,Banca Minorista,0
5603,FONDO MUTUO,PEN,2760,2760,Banca Minorista,0
5604,FONDO MUTUO,PEN,6000,6000,Banca Minorista,0
5605,CUENTAS EN GTIA,PEN,960,960,Banca Minorista,0
5606,CUENTAS EN GTIA,PEN,3600,3600,Banca Minorista,0
5607,FONDO MUTUO,USD,917,3042.606,Banca Minorista,0
5608,CUENTAS EN GTIA,PEN,1080,1080,Banca Minorista,0
5609,DEPOSITO A PLAZO,PEN,27074.86,27074.86,Banca Minorista,0
5610,CUENTAS EN GTIA,PEN,2400,2400,Banca Minorista,0
5611,CUENTAS EN GTIA,PEN,2901,2901,Banca Minorista,0
5612,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5613,CUENTAS EN GTIA,USD,260,862.68,Banca Minorista,0
5614,CUENTAS EN GTIA,PEN,13200,13200,Banca Minorista,0
5615,SUPER DEPOSITO,USD,3000,9954,Banca Minorista,0
5616,FONDO MUTUO,USD,1000,3318,Banca Minorista,0
5617,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
5618,FONDO MUTUO,PEN,12000,12000,Banca Minorista,0
5619,DEPOSITO A PLAZO,PEN,16000,16000,Banca Minorista,0
5620,CUENTAS EN GTIA,USD,2131,7070.658,Banca Minorista,0
5621,FONDO MUTUO,PEN,996,996,Banca Minorista,0
5622,FONDO MUTUO,PEN,6000,6000,Banca Minorista,0
5623,FONDO MUTUO,USD,12000,39816,Banca Minorista,0
5624,FONDO MUTUO,PEN,960,960,Banca Minorista,0
5625,FONDO MUTUO,PEN,840,840,Banca Minorista,0
5626,FONDO MUTUO,PEN,12530,12530,Banca Minorista,0
5627,FONDO MUTUO,PEN,14400,14400,Banca Minorista,0
5628,CUENTAS EN GTIA,PEN,1800,1800,Banca Minorista,0
5629,FONDO MUTUO,USD,10000,33180,Banca Minorista,0
5630,CUENTAS EN GTIA,PEN,960,960,Banca Minorista,0
5631,FONDO MUTUO,PEN,840,840,Banca Minorista,0
5632,DEPOSITO A PLAZO,PEN,20000,20000,Banca Minorista,0
