NROGAR;DESC TIPGAR;MONEDA; M GARANTIA MO ; M GARANTIA MN ; SEGMENTO ; may_1MM 
18699;FONDO MUTUO;PEN; 3,100 ; 3,100 ;Banca Minorista;0
18700;FONDO MUTUO;PEN; 75,000 ; 75,000 ;Banca Minorista;0
18701;FONDO MUTUO;PEN; 75,000 ; 75,000 ;Banca Minorista;0
18702;FONDO MUTUO;PEN; 23,999 ; 23,999 ;Banca Minorista;0
18703;FONDO MUTUO;PEN; 800 ; 800 ;Banca Minorista;0
18704;FONDO MUTUO;PEN; 29,999 ; 29,999 ;Banca Minorista;0
18705;CUENTAS EN GTIA;PEN; 500 ; 500 ;Banca Minorista;0
18706;DEPOSITO A PLAZO;PEN; 130,000 ; 130,000 ;Banca Minorista;0
18707;FONDO MUTUO;PEN; 12,000 ; 12,000 ;Banca Minorista;0
18708;DEPOSITO A PLAZO;PEN; 130,000 ; 130,000 ;Banca Minorista;0
18709;CUENTAS EN GTIA;PEN; 19,500 ; 19,500 ;Banca Minorista;0
18710;CUENTAS EN GTIA;USD; 60,424 ; 200,487 ;Banca Minorista;0
18711;FONDO MUTUO;USD; 40,000 ; 132,720 ;Banca Minorista;0
18712;FONDO MUTUO;USD; 1,180 ; 3,915 ;Banca Minorista;0
18713;DEPOSITO A PLAZO;PEN; 10,000 ; 10,000 ;Banca Minorista;0
18714;DEPOSITO A PLAZO;USD; 100,000 ; 331,800 ;Banca Minorista;0
18715;FONDO MUTUO;PEN; 165,176 ; 165,176 ;Banca Minorista;0
18716;FONDO MUTUO;PEN; 84,925 ; 84,925 ;Banca Minorista;0
18717;FONDO MUTUO;PEN; 2,200 ; 2,200 ;Banca Minorista;0
18718;CUENTAS EN GTIA;PEN; 21,000 ; 21,000 ;Banca Minorista;0
18719;DEPOSITO A PLAZO;USD; -   ; -   ;Banca Minorista;0
18720;FONDO MUTUO;PEN; 283,500 ; 283,500 ;Banca Minorista;0
18721;CUENTAS EN GTIA;PEN; 1,500 ; 1,500 ;Banca Minorista;0
18722;CUENTAS EN GTIA;USD; 400 ; 1,327 ;Banca Minorista;0
18723;CUENTAS EN GTIA;PEN; 7,120 ; 7,120 ;Banca Minorista;0
18724;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18725;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18726;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18727;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18728;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18729;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18730;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
18731;DEPOSITO A PLAZO;PEN; 2,000 ; 2,000 ;Banca Minorista;0
18732;DEPOSITO A PLAZO;PEN; 6,000 ; 6,000 ;Banca Minorista;0
18733;DEPOSITO A PLAZO;PEN; -   ; -   ;Banca Minorista;0
18734;DEPOSITO A PLAZO;PEN; 20,208 ; 20,208 ;Banca Minorista;0
18735;DEPOSITO A PLAZO;PEN; 50,000 ; 50,000 ;Banca Minorista;0
18736;DEPOSITO A PLAZO;PEN; 4,876 ; 4,876 ;Banca Minorista;0
18737;CUENTAS EN GTIA;PEN; 770 ; 770 ;Banca Minorista;0
18738;FONDO MUTUO;PEN; 825 ; 825 ;Banca Minorista;0
18739;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18740;FONDO MUTUO;PEN; 1,100 ; 1,100 ;Banca Minorista;0
18741;CUENTAS EN GTIA;PEN; 1,000 ; 1,000 ;Banca Minorista;0
18742;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
18743;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18744;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18745;FONDO MUTUO;USD; 389 ; 1,291 ;Banca Minorista;0
18746;DEPOSITO A PLAZO;PEN; 3,000 ; 3,000 ;Banca Minorista;0
18747;CUENTAS EN GTIA;PEN; 2,880 ; 2,880 ;Banca Minorista;0
18748;FONDO MUTUO;PEN; 100,000 ; 100,000 ;Banca Minorista;0
18749;CUENTAS EN GTIA;PEN; 840 ; 840 ;Banca Minorista;0
18750;FONDO MUTUO;PEN; 613 ; 613 ;Banca Minorista;0
